date,sam,oni,iod
1979-01-01,0.74,0.03,0.317
1979-02-01,-0.9,0.07,-0.158
1979-03-01,1.51,0.2,-0.034
1979-04-01,-0.49,0.28,-0.207
1979-05-01,1.54,0.23,-0.444
1979-06-01,2.52,0.05,0.108
1979-07-01,3.14,0.04,-0.315
1979-08-01,1.39,0.17,-0.226
1979-09-01,-0.02,0.33,-0.28
1979-10-01,0.54,0.45,-0.314
1979-11-01,-1.26,0.52,-0.251
1979-12-01,-1.88,0.64,-0.101
1980-01-01,0.01,0.59,-0.158
1980-02-01,-1.75,0.46,-0.2
1980-03-01,-2.58,0.34,-0.417
1980-04-01,-1.77,0.38,-0.095
1980-05-01,-0.51,0.48,-0.066
1980-06-01,3.19,0.46,-0.382
1980-07-01,-1.68,0.25,-0.661
1980-08-01,-1.68,0.03,-0.822
1980-09-01,-2.56,-0.07,-0.745
1980-10-01,0.45,0.02,-0.657
1980-11-01,-2.09,0.11,-0.417
1980-12-01,-0.1,-0.01,-0.483
1981-01-01,0.84,-0.26,-0.201
1981-02-01,1.76,-0.5,-0.024
1981-03-01,-2.47,-0.47,0.027
1981-04-01,-3.52,-0.37,0.092
1981-05-01,0.88,-0.26,-0.018
1981-06-01,0.38,-0.29,-0.24
1981-07-01,-1.43,-0.3,-0.56
1981-08-01,-1.99,-0.25,-0.628
1981-09-01,-1.49,-0.16,-0.757
1981-10-01,-0.39,-0.13,-0.606
1981-11-01,2.34,-0.15,-0.328
1981-12-01,2.21,-0.08,-0.019
1982-01-01,-0.77,-0.05,0.144
1982-02-01,0.7,0.07,0.166
1982-03-01,4.28,0.19,0.054
1982-04-01,2.89,0.47,0.119
1982-05-01,-0.7,0.66,0.223
1982-06-01,2.4,0.72,0.255
1982-07-01,0.01,0.79,0.265
1982-08-01,1.0,1.07,0.256
1982-09-01,1.56,1.58,0.442
1982-10-01,-2.14,1.97,0.623
1982-11-01,-2.32,2.18,0.284
1982-12-01,-2.21,2.23,-0.162
1983-01-01,-2.44,2.18,-0.482
1983-02-01,0.89,1.92,-0.587
1983-03-01,-0.71,1.54,-0.752
1983-04-01,-0.6,1.29,-0.556
1983-05-01,-0.68,1.06,-0.059
1983-06-01,0.38,0.72,0.371
1983-07-01,1.63,0.31,0.525
1983-08-01,0.09,-0.08,0.345
1983-09-01,-0.72,-0.46,-0.069
1983-10-01,2.05,-0.81,-0.288
1983-11-01,3.79,-1.0,-0.343
1983-12-01,1.52,-0.91,-0.101
1984-01-01,-1.96,-0.6,-0.223
1984-02-01,-1.74,-0.42,-0.149
1984-03-01,-0.38,-0.34,-0.122
1984-04-01,-0.23,-0.43,0.05
1984-05-01,-0.33,-0.51,-0.305
1984-06-01,1.08,-0.45,-0.357
1984-07-01,-0.21,-0.3,-0.366
1984-08-01,-2.33,-0.16,-0.498
1984-09-01,-0.16,-0.24,-0.608
1984-10-01,1.06,-0.56,-0.654
1984-11-01,0.34,-0.92,-0.418
1984-12-01,-3.22,-1.14,-0.278
1985-01-01,-2.38,-1.04,-0.466
1985-02-01,-0.02,-0.85,-0.627
1985-03-01,-0.08,-0.77,-0.541
1985-04-01,0.95,-0.78,-0.2
1985-05-01,0.38,-0.78,-0.223
1985-06-01,-2.49,-0.63,-0.629
1985-07-01,2.64,-0.49,-0.403
1985-08-01,1.26,-0.46,-0.459
1985-09-01,1.07,-0.4,-0.238
1985-10-01,0.57,-0.35,-0.498
1985-11-01,2.28,-0.27,0.074
1985-12-01,1.9,-0.36,-0.417
1986-01-01,0.37,-0.49,-0.113
1986-02-01,-4.89,-0.47,-0.135
1986-03-01,-1.26,-0.31,-0.2
1986-04-01,-0.57,-0.2,-0.286
1986-05-01,-2.19,-0.12,-0.154
1986-06-01,-0.95,-0.04,-0.278
1986-07-01,-0.02,0.22,-0.546
1986-08-01,1.68,0.44,-0.401
1986-09-01,2.72,0.71,-0.142
1986-10-01,-0.38,0.94,-0.048
1986-11-01,0.5,1.14,-0.244
1986-12-01,1.31,1.22,-0.274
1987-01-01,-2.51,1.23,-0.081
1987-02-01,-2.49,1.19,0.041
1987-03-01,-1.11,1.06,-0.137
1987-04-01,-0.17,0.95,-0.157
1987-05-01,-0.34,0.97,0.165
1987-06-01,0.18,1.22,0.109
1987-07-01,-0.26,1.51,0.207
1987-08-01,1.79,1.7,0.297
1987-09-01,-0.72,1.65,0.393
1987-10-01,0.78,1.48,0.255
1987-11-01,1.77,1.25,-0.051
1987-12-01,0.3,1.11,0.152
1988-01-01,0.13,0.81,0.353
1988-02-01,0.12,0.54,-0.154
1988-03-01,-2.01,0.14,-0.313
1988-04-01,2.11,-0.31,-0.128
1988-05-01,-2.03,-0.88,-0.513
1988-06-01,-3.06,-1.3,-0.272
1988-07-01,0.64,-1.3,-0.15
1988-08-01,-2.0,-1.11,-0.289
1988-09-01,-2.7,-1.19,-0.394
1988-10-01,-6.03,-1.48,-0.525
1988-11-01,1.77,-1.8,-0.183
1988-12-01,1.88,-1.85,0.156
1989-01-01,-0.02,-1.69,-0.281
1989-02-01,1.14,-1.43,-0.045
1989-03-01,0.2,-1.08,-0.319
1989-04-01,0.0,-0.83,-0.48
1989-05-01,3.73,-0.58,-0.594
1989-06-01,2.91,-0.4,-0.78
1989-07-01,0.88,-0.31,-0.447
1989-08-01,-1.21,-0.27,-0.321
1989-09-01,-0.23,-0.24,-0.225
1989-10-01,-0.16,-0.22,-0.412
1989-11-01,0.69,-0.16,-0.338
1989-12-01,-0.05,-0.05,-0.167
1990-01-01,-0.23,0.14,-0.099
1990-02-01,1.95,0.21,-0.289
1990-03-01,0.8,0.28,-0.143
1990-04-01,-3.34,0.29,-0.385
1990-05-01,-3.35,0.29,-0.348
1990-06-01,-0.28,0.31,-0.568
1990-07-01,-1.82,0.33,-0.246
1990-08-01,0.12,0.38,-0.392
1990-09-01,2.08,0.39,-0.183
1990-10-01,-0.06,0.35,-0.345
1990-11-01,0.29,0.4,-0.094
1990-12-01,-0.2,0.41,0.003
1991-01-01,1.5,0.41,0.065
1991-02-01,-1.69,0.26,-0.097
1991-03-01,1.07,0.22,-0.037
1991-04-01,-1.36,0.26,0.289
1991-05-01,1.02,0.45,0.379
1991-06-01,1.04,0.64,0.263
1991-07-01,-1.56,0.73,0.27
1991-08-01,-0.57,0.64,0.058
1991-09-01,-2.52,0.62,0.099
1991-10-01,1.3,0.79,-0.03
1991-11-01,-0.84,1.21,0.04
1991-12-01,-1.23,1.53,0.084
1992-01-01,0.17,1.71,-0.321
1992-02-01,-1.89,1.63,-0.389
1992-03-01,-1.1,1.48,-0.671
1992-04-01,0.53,1.29,-0.553
1992-05-01,-2.19,1.06,-0.549
1992-06-01,-3.13,0.73,-0.861
1992-07-01,-0.8,0.37,-0.479
1992-08-01,-0.4,0.09,-0.768
1992-09-01,1.06,-0.13,-0.833
1992-10-01,0.7,-0.25,-0.627
1992-11-01,1.49,-0.28,-0.399
1992-12-01,0.58,-0.13,-0.317
1993-01-01,-2.17,0.09,-0.196
1993-02-01,0.77,0.3,0.035
1993-03-01,-0.1,0.5,-0.295
1993-04-01,1.8,0.67,-0.181
1993-05-01,2.1,0.7,-0.027
1993-06-01,0.4,0.57,-0.108
1993-07-01,2.82,0.32,-0.152
1993-08-01,2.69,0.25,-0.305
1993-09-01,1.14,0.15,-0.17
