date,SAM,ONI,IOD,WHDI_3,In_Drought,anom_score
2024-03,2.74,1.26,0.765,0.0152367143454809,No,-0.5861211237059237
1998-02,2.65,1.93,0.863,-0.78668089088841,No,-0.578780203930364
2024-02,2.84,1.62,0.851,-0.5593194226111244,No,-0.5786312783301257
1998-03,0.57,1.44,0.525,-0.7624957705330475,No,-0.5755219946675046
1998-01,-0.89,2.24,1.279,0.0086738051648725,No,-0.5736410324877822
1997-12,-3.17,2.39,0.873,-0.3245270366593832,No,-0.5698191063584331
2016-02,3.13,2.28,0.272,-1.1030728900083615,Yes,-0.5694830850633649
1989-01,1.88,-1.69,-0.183,0.6656854492363293,No,-0.5677874432746497
2024-01,2.28,1.92,0.92,0.5602883659137364,No,-0.5638576509883526
1983-03,0.89,1.54,-0.482,-0.3530188557311531,No,-0.5581395468860177
2016-01,0.72,2.63,0.347,-0.96388821552659,No,-0.5561706219717522
2023-12,0.52,2.06,0.804,0.5633472008846518,No,-0.5545767359504745
1983-02,-2.44,1.92,-0.162,0.1778155927865746,No,-0.5519711454173301
2024-04,1.05,0.82,0.328,0.4971615723578821,No,-0.5513073326002074
1988-12,1.77,-1.85,-0.525,0.6081024325020549,No,-0.5512404282880259
2024-05,1.48,0.49,0.421,0.2137189171732552,No,-0.5494663832038871
2015-12,1.46,2.75,0.483,-0.9328315726582016,No,-0.5463979052860848
1983-04,-0.71,1.29,-0.587,-0.1975107139565542,No,-0.5426546581087653
1983-01,-2.21,2.18,0.284,0.2491088163694596,No,-0.5400781447409712
2016-03,1.35,1.71,0.266,-1.5545097286892018,Yes,-0.5399704073691647
2024-06,1.7,0.22,0.44,-0.2767679925882772,No,-0.5392431392429244
2020-01,-1.78,0.64,0.835,0.5623629534723058,No,-0.5374333237220644
1998-12,2.84,-1.57,-0.743,-1.299268116161906,Yes,-0.5372875713575901
1989-02,-0.02,-1.43,0.156,0.0064388668791068,No,-0.5367539736696237
1998-08,2.13,-1.12,0.147,-0.2623618866531469,No,-0.5363534397667733
2019-12,-4.42,0.66,0.964,0.2556338190130983,No,-0.5362788682269608
2016-04,4.36,1.05,-0.11,-1.378004847194419,Yes,-0.5356753362565834
1998-04,-0.05,0.99,0.422,-2.0728852527162225,Yes,-0.5344334100625002
