,start,end,duration,peak_severity,peak_date,mean_severity
0,1979-03-01,1979-06-01,3,-1.5246340839763346,1979-04-01,-1.3261524919739098
1,1984-07-01,1984-10-01,3,-2.375764093305372,1984-08-01,-1.6638390098171192
2,1985-12-01,1986-01-01,1,-1.347539940768751,1985-12-01,-1.347539940768751
3,1987-10-01,1988-03-01,5,-1.362856007730641,1987-12-01,-1.2317459343091168
4,1988-09-01,1988-11-01,2,-1.5754316321552406,1988-09-01,-1.3452150355424886
5,1989-07-01,1989-08-01,1,-1.1862297920466547,1989-07-01,-1.1862297920466547
6,1989-09-01,1989-12-01,3,-1.252410837999106,1989-11-01,-1.2120743181405838
7,1991-08-01,1991-09-01,1,-1.193960785086096,1991-08-01,-1.193960785086096
8,1992-08-01,1992-10-01,2,-1.7988630519997613,1992-08-01,-1.504250829575307
9,1996-01-01,1996-02-01,1,-1.2271840426507963,1996-01-01,-1.2271840426507963
10,1996-07-01,1996-10-01,3,-1.5815151995515504,1996-08-01,-1.3329587703291033
11,1998-04-01,1998-08-01,4,-3.064842498370249,1998-06-01,-2.2277807661711595
12,1998-11-01,1999-08-01,9,-2.093742167660791,1999-01-01,-1.6739814900415773
13,1999-12-01,2000-02-01,2,-1.5746286233363682,1999-12-01,-1.511876027327881
14,2000-09-01,2000-11-01,2,-1.0256991196607004,2000-10-01,-1.0236438253017623
15,2001-11-01,2002-03-01,4,-1.451301368592199,2002-02-01,-1.27277092946807
16,2003-05-01,2003-06-01,1,-1.8604410776229037,2003-05-01,-1.8604410776229037
17,2005-09-01,2005-10-01,1,-1.0754568833811124,2005-09-01,-1.0754568833811124
18,2007-09-01,2007-11-01,2,-1.501602977453744,2007-09-01,-1.303461353166127
19,2008-02-01,2008-05-01,3,-1.748103231314741,2008-03-01,-1.2732460816298032
20,2008-12-01,2009-03-01,3,-1.4702820388600892,2009-01-01,-1.2043701517476506
21,2013-04-01,2013-05-01,1,-1.0399052260361685,2013-04-01,-1.0399052260361685
22,2015-03-01,2015-05-01,2,-1.2786834373587144,2015-04-01,-1.1875317957671112
23,2016-02-01,2017-01-01,11,-3.245469075766924,2016-07-01,-1.7776751323994544
24,2019-04-01,2019-05-01,1,-1.046209436240862,2019-04-01,-1.046209436240862
25,2020-04-01,2020-05-01,1,-1.1246029393073689,2020-04-01,-1.1246029393073689
26,2021-02-01,2021-06-01,4,-2.0887491572699655,2021-04-01,-1.7661740580379786
27,2021-11-01,2022-03-01,4,-1.8884420062891305,2021-12-01,-1.5744616035453896
28,2023-01-01,2023-02-01,1,-1.2858102047405306,2023-01-01,-1.2858102047405306
29,2024-08-01,2024-09-01,1,-1.0003188594457855,2024-08-01,-1.0003188594457855
30,2025-01-01,2025-03-01,2,-1.6561274568706128,2025-02-01,-1.5462108716458025
