climate_mode,target,lag_months,correlation,p_raw,p_adjusted,n_effective,significant_raw,significant_adj
sam,whdi_1,0,-0.16135155163226952,0.0001187795365965795,0.00030416698722769307,497,True,True
sam,whdi_1,1,-0.14819624891140457,0.000418667080051474,0.0009314381992110907,496,True,True
sam,whdi_1,2,-0.0976651692111159,0.020575392702213282,0.029643599518300118,496,True,True
sam,whdi_1,3,-0.11446287751611645,0.0066479881617729,0.010656954193981412,497,True,True
sam,whdi_1,4,-0.07494930918427048,0.07636891366259482,0.09578425321816927,495,False,False
sam,whdi_1,5,-0.06069143730045452,0.15184416003402643,0.17805784521277432,494,False,False
sam,whdi_1,6,0.028758362189580045,0.4978049371115565,0.5236695144594735,494,False,False
sam,whdi_1,7,-0.02128831854241637,0.6161244762811978,0.6372616253422707,493,False,False
sam,whdi_1,8,-0.056403578412172715,0.18416456368760475,0.21170019642744115,492,False,False
sam,whdi_1,9,-0.04531337300470398,0.28658056634317286,0.3158329113513126,492,False,False
sam,whdi_1,10,-0.02183064475441699,0.6081381834894553,0.6294086573398852,491,False,False
sam,whdi_1,11,0.05528242629379552,0.19426325703878647,0.22140911719139372,491,False,False
sam,whdi_1,12,-0.019871799973750482,0.6413091022507681,0.6608058005148616,490,False,False
sam,whdi_3,0,-0.13979525477055726,0.000890504052167275,0.006136944289629576,383,True,True
sam,whdi_3,1,-0.17443004821596272,3.212673554283815e-05,0.0005962151381838095,384,True,True
sam,whdi_3,2,-0.19758763065226778,2.354926479511816e-06,9.112720761307198e-05,387,True,True
sam,whdi_3,3,-0.17538281278898388,2.9515466534106443e-05,0.0005196243985732611,388,True,True
sam,whdi_3,4,-0.13855112591570742,0.0010116756807957614,0.006333756982958528,387,True,True
sam,whdi_3,5,-0.11898848657914082,0.004847711281285496,0.019362126023020176,386,True,True
sam,whdi_3,6,-0.0508803325592081,0.23014767108488077,0.3193750029232686,385,False,False
sam,whdi_3,7,-0.025853282102384537,0.542597066799463,0.6135225967023444,384,False,False
sam,whdi_3,8,-0.0228576329941238,0.5906928104780967,0.6552257168903417,384,False,False
sam,whdi_3,9,-0.05730572910317201,0.1776269636270066,0.2613735015370338,386,False,False
sam,whdi_3,10,-0.0575863321422201,0.17590131432806802,0.25966344867085644,385,False,False
sam,whdi_3,11,-0.006343077254128542,0.8816897681021535,0.9013988528064262,384,False,False
sam,whdi_3,12,0.007388141532364146,0.8625013753062493,0.8855568219824519,382,False,False
sam,whdi_6,0,-0.12196663677253475,0.003876834601768608,0.02044989730933892,361,True,True
sam,whdi_6,1,-0.1710698962247701,4.79110940730309e-05,0.0011196825938943513,360,True,True
sam,whdi_6,2,-0.19312975350574418,4.238090953954298e-06,0.00020975726278491712,364,True,True
sam,whdi_6,3,-0.20333074113667526,1.2512068418296547e-06,8.941982963327577e-05,366,True,True
sam,whdi_6,4,-0.20205223498725255,1.4629897778868535e-06,9.922266692853161e-05,366,True,True
sam,whdi_6,5,-0.20317546576955983,1.275264398407007e-06,9.055982104732435e-05,366,True,True
sam,whdi_6,6,-0.1432297897596985,0.0006905558151038392,0.006052188315809292,366,True,True
sam,whdi_6,7,-0.10277734993292803,0.015240527884584434,0.04975993200672539,365,True,True
sam,whdi_6,8,-0.08907711677431693,0.035741495890794756,0.08969427322855505,364,True,False
sam,whdi_6,9,-0.06759065115837241,0.11170876120467331,0.19700279443051696,366,False,False
sam,whdi_6,10,-0.050306674198602394,0.23714513659671568,0.3378520393064677,365,False,False
sam,whdi_6,11,-0.01528705044055561,0.7198217205826115,0.7713020655157383,364,False,False
sam,whdi_6,12,-0.02980145073734211,0.4847123024626568,0.5719542032372947,362,False,False
sam,wind_std,0,-0.10880171765030978,0.009714046868664672,0.010111503628776702,558,True,True
sam,wind_std,1,-0.09501779347986924,0.024156023867306007,0.024926591172248495,557,True,True
sam,wind_std,2,-0.04593857345866655,0.2769511322245789,0.2799768030734262,555,False,False
sam,wind_std,3,-0.06373604566875213,0.13161023462092006,0.13370213050768254,555,False,False
sam,wind_std,4,-0.04679593011844449,0.26893210976217047,0.2715238639674044,554,False,False
sam,wind_std,5,-0.00801433507292638,0.8500432361585666,0.8508442836652552,553,False,False
sam,wind_std,6,0.04885212388009393,0.24928564686592045,0.2518582812201551,552,False,False
sam,wind_std,7,-0.01462985790085262,0.7304553909606434,0.7318611755077842,551,False,False
sam,wind_std,8,-0.051333222160341786,0.2268579566430117,0.2293928342448308,550,False,False
sam,wind_std,9,-0.054024241327154214,0.20380499465358085,0.20627798149127494,549,False,False
sam,wind_std,10,-0.03235821009949411,0.4471944414564172,0.4496764218778629,548,False,False
sam,wind_std,11,0.04596028293836759,0.28062141720303146,0.2832582708226884,547,False,False
sam,wind_std,12,0.014168943340915155,0.7397708296880917,0.7411442400519217,546,False,False
sam,runoff_std,0,-0.14143428098988803,0.0007561323784946035,0.002496119529525602,455,True,True
sam,runoff_std,1,-0.1347542112740067,0.0013510009071773478,0.0039812466168331236,455,True,True
sam,runoff_std,2,-0.10558859584953258,0.01225997492432614,0.02414127782812426,456,True,True
sam,runoff_std,3,-0.11375475095095403,0.006995020893168464,0.014972595254821077,457,True,True
sam,runoff_std,4,-0.06933077778028798,0.10121903244349925,0.13978684574547204,455,False,False
sam,runoff_std,5,-0.08606276486296488,0.04194979428100372,0.06693529495930142,454,True,False
sam,runoff_std,6,-0.004302731438465135,0.9192235922393924,0.9272336686884626,453,False,False
sam,runoff_std,7,-0.018369330449988425,0.6653094989069,0.6969146050314532,452,False,False
sam,runoff_std,8,-0.03588366178980314,0.3983945148650895,0.4471453468271046,451,False,False
sam,runoff_std,9,-0.015840337511767034,0.7096280935545562,0.7369773865353113,452,False,False
sam,runoff_std,10,-0.0012170170242007993,0.977199172896255,0.9794607038153327,450,False,False
sam,runoff_std,11,0.039727421623457874,0.35108729563450686,0.3999711831230677,451,False,False
sam,runoff_std,12,-0.04572275346028517,0.28355512804895083,0.33371768378781397,449,False,False
