season,climate_mode,target,lag_months,correlation,p_adjusted,n_effective,significant
DJF,sam,whdi_3,0,-0.2989343064551703,0.0021601270001821585,103,True
DJF,sam,whdi_3,1,-0.2552784192238299,0.009612539421522416,102,True
DJF,sam,whdi_3,2,-0.18366019679232548,0.06463600514234764,102,False
DJF,sam,whdi_3,3,-0.034308050139373825,0.7334045689363354,101,False
DJF,sam,whdi_3,4,-0.011323551769037099,0.9114255871272637,99,False
DJF,sam,whdi_3,5,-0.03870731656896387,0.7036601895760215,99,False
DJF,sam,whdi_3,6,-0.03398700772221197,0.7384035726756991,99,False
DJF,sam,whdi_3,7,0.02064832822118967,0.839243954206235,99,False
DJF,sam,whdi_3,8,0.06558242844832138,0.5233264044323965,97,False
DJF,sam,whdi_3,9,0.09612450312599924,0.3464193513368801,98,False
DJF,sam,whdi_3,10,0.01284993822695724,0.9000636702189428,98,False
DJF,sam,whdi_3,11,0.029284416968967587,0.7746922167885693,98,False
DJF,sam,whdi_3,12,-0.08410033132254653,0.41032111234715735,98,False
DJF,sam,wind_std,0,-0.21294798923327862,0.011236485998533191,141,True
DJF,sam,wind_std,1,-0.14100609116196822,0.09778090539720256,139,False
DJF,sam,wind_std,2,-0.031152047628127594,0.7168192404854835,138,False
DJF,sam,wind_std,3,0.06571495473091757,0.44549239240204197,137,False
DJF,sam,wind_std,4,0.029372173333173004,0.7342730025758497,136,False
DJF,sam,wind_std,5,-0.03297966118609545,0.7041465077892807,135,False
DJF,sam,wind_std,6,0.10813014818880048,0.21363940901884998,134,False
DJF,sam,wind_std,7,-0.04412410948962289,0.6140460674680233,133,False
DJF,sam,wind_std,8,0.1381270367789872,0.11423387300951575,132,False
DJF,sam,wind_std,9,0.03947832326213914,0.6543740015728312,131,False
DJF,sam,wind_std,10,-0.0757661598279179,0.39157968641904456,130,False
DJF,sam,wind_std,11,-0.056489130358120726,0.5248700687100758,129,False
DJF,sam,wind_std,12,-0.06235599340171477,0.4844034103266924,128,False
DJF,sam,runoff_std,0,-0.29950403117259417,0.0014061293202563539,111,True
DJF,sam,runoff_std,1,-0.27373129007458097,0.0038084964700257165,110,True
DJF,sam,runoff_std,2,-0.15978717987643937,0.10017226594664747,107,False
DJF,sam,runoff_std,3,-0.02647357837807046,0.7876390958060141,106,False
DJF,sam,runoff_std,4,-0.015156893183002604,0.8792208057632457,103,False
DJF,sam,runoff_std,5,-0.088397093078746,0.37221605803376345,104,False
DJF,sam,runoff_std,6,-0.007703151007498292,0.9378359425672634,105,False
DJF,sam,runoff_std,7,0.0002705338778800151,0.9978253125648905,104,False
DJF,sam,runoff_std,8,0.012059012807594223,0.9037731138145456,103,False
DJF,sam,runoff_std,9,0.09388140246563699,0.3431648515038057,104,False
DJF,sam,runoff_std,10,0.012229474777688903,0.9024195383357506,103,False
DJF,sam,runoff_std,11,0.07321307700742083,0.46236959228653124,103,False
DJF,sam,runoff_std,12,-0.01769959769629887,0.8591526396831626,103,False
DJF,oni,whdi_3,0,0.2519681805009809,0.0521199655812274,60,False
DJF,oni,whdi_3,1,0.15846994997659344,0.2265320551062856,60,False
DJF,oni,whdi_3,2,0.011458629615997027,0.9307558801495757,60,False
DJF,oni,whdi_3,3,-0.09523137519562067,0.46919524460107703,60,False
DJF,oni,whdi_3,4,-0.13546907210055475,0.306298771109931,59,False
DJF,oni,whdi_3,5,-0.16294678450439148,0.21753872159488233,59,False
DJF,oni,whdi_3,6,-0.1350971649446488,0.3033986994358912,60,False
DJF,oni,whdi_3,7,-0.06609137160991352,0.6158634429392439,60,False
DJF,oni,whdi_3,8,0.07633554555303357,0.568995916930513,58,False
DJF,oni,whdi_3,9,0.19127715746679702,0.1540660460445748,57,False
DJF,oni,whdi_3,10,0.1152107644188521,0.39343837784900565,57,False
DJF,oni,whdi_3,11,-0.02248557084457364,0.8693436947787359,56,False
DJF,oni,whdi_3,12,-0.1778688491621206,0.18968425799060082,56,False
DJF,oni,wind_std,0,-0.038905623341071754,0.6469238414680143,141,False
DJF,oni,wind_std,1,-0.0426126624335796,0.6184238002388154,139,False
DJF,oni,wind_std,2,-0.043075364583424175,0.6172182685186087,137,False
DJF,oni,wind_std,3,-0.033856996387654555,0.6955719496448348,136,False
DJF,oni,wind_std,4,-0.042155902089892956,0.6260478597259821,136,False
DJF,oni,wind_std,5,-0.06443824563053868,0.4577755155464158,135,False
DJF,oni,wind_std,6,-0.01147931612249145,0.8952673897380886,134,False
DJF,oni,wind_std,7,0.01998558547359427,0.8200694308958368,132,False
DJF,oni,wind_std,8,0.07222712000578402,0.4123154966186743,131,False
DJF,oni,wind_std,9,0.06967124283252249,0.43089564230488775,130,False
DJF,oni,wind_std,10,0.0023980960975663046,0.9784820163856217,129,False
DJF,oni,wind_std,11,-0.04354482565544305,0.6255128361751262,128,False
DJF,oni,wind_std,12,-0.024543247013162843,0.7841654097524474,127,False
DJF,oni,runoff_std,0,0.1989010462323108,0.08933760677061942,74,False
DJF,oni,runoff_std,1,0.0034632336774301532,0.976637494336776,74,False
DJF,oni,runoff_std,2,-0.09516742139195108,0.4332324911771019,70,False
DJF,oni,runoff_std,3,-0.15219163519263804,0.2118881882795698,69,False
DJF,oni,runoff_std,4,-0.1561026646343152,0.2071435158666376,67,False
DJF,oni,runoff_std,5,-0.16447157938490475,0.18015758600522935,68,False
DJF,oni,runoff_std,6,-0.07979111668442934,0.5083213056610816,71,False
DJF,oni,runoff_std,7,0.051534158388371595,0.6740953535018721,69,False
DJF,oni,runoff_std,8,0.19912971764841375,0.1035309715914477,68,False
DJF,oni,runoff_std,9,0.1956395268816296,0.10985007268725201,68,False
DJF,oni,runoff_std,10,0.07661924316745543,0.5377229045145598,67,False
DJF,oni,runoff_std,11,-0.1131946827516922,0.36174879702781865,67,False
DJF,oni,runoff_std,12,-0.20035699786722505,0.10402192987058397,67,False
DJF,iod,whdi_3,0,0.022868434632106936,0.8477103122158577,73,False
DJF,iod,whdi_3,1,-0.06650101754563849,0.5761633787376617,73,False
DJF,iod,whdi_3,2,-0.13453031539264831,0.25313195490636503,74,False
DJF,iod,whdi_3,3,-0.17185073052944574,0.14317638590873835,74,False
DJF,iod,whdi_3,4,-0.20480323503183995,0.08666038635521026,71,False
DJF,iod,whdi_3,5,-0.24684086708173592,0.036588938406840334,72,True
DJF,iod,whdi_3,6,-0.24004516443215185,0.036741363643004954,76,True
DJF,iod,whdi_3,7,-0.0893311320134273,0.4428436865588703,76,False
DJF,iod,whdi_3,8,-0.001805984592461337,0.9877309338636221,75,False
DJF,iod,whdi_3,9,0.13701428616510822,0.24439363400214417,74,False
DJF,iod,whdi_3,10,0.09059911188815997,0.4458879343881571,73,False
DJF,iod,whdi_3,11,-0.0257429053134023,0.8288419632777,73,False
DJF,iod,whdi_3,12,-0.2269292000166516,0.05524455549138954,72,False
DJF,iod,wind_std,0,-0.042659623641881285,0.6167526021056663,140,False
DJF,iod,wind_std,1,-0.15999623680918196,0.05991305632484343,139,False
DJF,iod,wind_std,2,-0.19626513896894138,0.02104881025472734,138,True
DJF,iod,wind_std,3,-0.14704550371917402,0.08758047616257122,136,False
DJF,iod,wind_std,4,-0.05994454864461194,0.4881597418733877,136,False
DJF,iod,wind_std,5,0.006777881065416493,0.9378117902341603,135,False
DJF,iod,wind_std,6,-0.05468279838049212,0.5303062402313103,134,False
DJF,iod,wind_std,7,-0.012457728318295246,0.8868281213894987,133,False
DJF,iod,wind_std,8,-0.020131265241013843,0.8194692435364831,131,False
DJF,iod,wind_std,9,0.11340204168192322,0.19891717011113375,130,False
DJF,iod,wind_std,10,0.0337619870720001,0.7040653818337065,129,False
DJF,iod,wind_std,11,-0.05704345846913206,0.5224566360286557,128,False
DJF,iod,wind_std,12,-0.21526683411146413,0.014676866455507847,128,True
DJF,iod,runoff_std,0,-0.04908978573563127,0.6535404609237196,86,False
DJF,iod,runoff_std,1,-0.1772475040203555,0.1025472500534949,86,False
DJF,iod,runoff_std,2,-0.1618800094026961,0.14622817823693549,82,False
DJF,iod,runoff_std,3,-0.19765025372101042,0.07694447899545637,81,False
DJF,iod,runoff_std,4,-0.20204998844399616,0.07606438425938819,78,False
DJF,iod,runoff_std,5,-0.19972365109929485,0.07569830095199695,80,False
DJF,iod,runoff_std,6,-0.12044747154189002,0.2721905137920999,85,False
DJF,iod,runoff_std,7,-0.0014454753313998675,0.9895883025984956,84,False
DJF,iod,runoff_std,8,0.13578573478185862,0.21811250031672197,84,False
DJF,iod,runoff_std,9,0.25011381650824793,0.022580224734890807,83,True
DJF,iod,runoff_std,10,0.1356014745843903,0.22448347400671542,82,False
DJF,iod,runoff_std,11,-0.0014708852551276567,0.9895360778518626,82,False
DJF,iod,runoff_std,12,-0.15974697302624258,0.15428943498432768,81,False
MAM,sam,whdi_3,0,-0.22383270377926853,0.013586996169585298,121,True
MAM,sam,whdi_3,1,-0.13698578293981378,0.13406179447730582,121,False
MAM,sam,whdi_3,2,-0.07926881797881627,0.38346491236531344,123,False
MAM,sam,whdi_3,3,-0.018744506825190882,0.8376295766059036,122,False
MAM,sam,whdi_3,4,-0.05843005810576127,0.5226383848407758,122,False
MAM,sam,whdi_3,5,0.005103064680938366,0.9555128473695865,122,False
MAM,sam,whdi_3,6,0.026354446885968597,0.7732336368460572,122,False
MAM,sam,whdi_3,7,-0.04787482252390629,0.6035857185798041,120,False
MAM,sam,whdi_3,8,-0.01859062843675567,0.8409515101546515,119,False
MAM,sam,whdi_3,9,-0.04960308094465762,0.5937428820529785,118,False
MAM,sam,whdi_3,10,0.0937882041347502,0.31451105452708106,117,False
MAM,sam,whdi_3,11,-0.09358862760982245,0.3155464921006844,117,False
